ignored_bits,iteration,run_time,solve_time,incorrect_bits
0,0,2.658461570739746,6.413459777832031e-05,0
0,1,2.6307339668273926,6.175041198730469e-05,0
0,2,2.6823952198028564,6.103515625e-05,0
0,3,2.6942191123962402,6.246566772460938e-05,0
0,4,2.713271141052246,6.103515625e-05,0
0,5,2.673081874847412,6.246566772460938e-05,0
0,6,2.6753923892974854,9.870529174804688e-05,0
0,7,2.7006795406341553,6.842613220214844e-05,0
0,8,2.6120026111602783,6.127357482910156e-05,0
0,9,2.722353935241699,6.413459777832031e-05,0
1,0,7.078859567642212,6.580352783203125e-05,75
1,1,7.210448980331421,6.556510925292969e-05,61
1,2,7.562792778015137,6.794929504394531e-05,85
1,3,7.758211374282837,6.532669067382812e-05,63
1,4,8.083216905593872,6.628036499023438e-05,79
1,5,8.31593132019043,6.794929504394531e-05,77
1,6,8.229184865951538,6.771087646484375e-05,82
1,7,9.310463428497314,7.009506225585938e-05,65
1,8,10.208174705505371,6.747245788574219e-05,76
1,9,10.281494855880737,6.723403930664062e-05,74
2,0,20.64457893371582,6.556510925292969e-05,93
2,1,23.358189344406128,6.723403930664062e-05,83
2,2,28.254334926605225,6.67572021484375e-05,79
2,3,30.15669536590576,6.604194641113281e-05,66
2,4,28.827279090881348,6.866455078125e-05,80
2,5,29.35131049156189,6.747245788574219e-05,75
2,6,29.558701038360596,6.747245788574219e-05,72
2,7,31.66402506828308,6.866455078125e-05,79
2,8,42.68687915802002,7.176399230957031e-05,77
2,9,44.96289610862732,6.914138793945312e-05,76
3,0,61.358349323272705,8.940696716308594e-05,81
3,1,66.71576285362244,7.009506225585938e-05,78
3,2,68.00562262535095,6.890296936035156e-05,82
3,3,70.82169270515442,6.67572021484375e-05,83
3,4,108.14305520057678,6.866455078125e-05,81
3,5,108.91597771644592,6.914138793945312e-05,77
3,6,109.25797533988953,6.580352783203125e-05,77
3,7,111.49932432174683,6.651878356933594e-05,83
3,8,111.73899102210999,6.771087646484375e-05,85
3,9,114.63040542602539,6.890296936035156e-05,89
4,0,299.94795060157776,6.866455078125e-05,98
4,1,354.5593090057373,6.985664367675781e-05,86
4,2,331.0120837688446,7.05718994140625e-05,95
4,3,384.6206467151642,6.818771362304688e-05,94
4,4,394.51126742362976,6.771087646484375e-05,93
4,5,620.4439187049866,6.747245788574219e-05,89
4,6,549.7471137046814,6.771087646484375e-05,108
4,7,536.2799065113068,6.604194641113281e-05,89
4,8,568.7308270931244,7.009506225585938e-05,97
4,9,573.875519990921,6.771087646484375e-05,105
