ignored_bits,iteration,run_time,solve_time,incorrect_bits
0,0,2.6746273040771484,6.29425048828125e-05,0
0,1,2.6510393619537354,6.29425048828125e-05,0
0,2,2.717839479446411,6.151199340820312e-05,0
0,3,2.7284858226776123,6.365776062011719e-05,0
0,4,2.7352545261383057,6.151199340820312e-05,0
0,5,2.672658920288086,6.437301635742188e-05,0
0,6,2.68107533454895,6.318092346191406e-05,0
0,7,2.660689353942871,6.103515625e-05,0
0,8,2.6752748489379883,6.318092346191406e-05,0
0,9,2.7185213565826416,7.677078247070312e-05,0
1,0,7.254204273223877,6.747245788574219e-05,60
1,1,7.465429782867432,7.128715515136719e-05,76
1,2,7.74729585647583,6.651878356933594e-05,61
1,3,8.02557921409607,6.794929504394531e-05,69
1,4,8.297373533248901,7.176399230957031e-05,69
1,5,8.440458536148071,6.771087646484375e-05,84
1,6,8.758906364440918,6.866455078125e-05,54
1,7,9.725948095321655,6.699562072753906e-05,76
1,8,10.458489179611206,6.651878356933594e-05,62
1,9,10.782726526260376,6.747245788574219e-05,60
2,0,21.557904481887817,6.961822509765625e-05,85
2,1,22.59972858428955,6.699562072753906e-05,62
2,2,26.850601196289062,6.937980651855469e-05,85
2,3,30.197543144226074,6.628036499023438e-05,86
2,4,29.854957818984985,7.033348083496094e-05,81
2,5,29.95755958557129,6.628036499023438e-05,96
2,6,29.632336139678955,7.176399230957031e-05,82
2,7,30.061899662017822,6.699562072753906e-05,92
2,8,37.575984954833984,7.200241088867188e-05,98
2,9,44.66339635848999,6.818771362304688e-05,75
3,0,62.50596070289612,7.009506225585938e-05,99
3,1,67.55901455879211,6.890296936035156e-05,81
3,2,68.8767478466034,6.842613220214844e-05,99
3,3,77.8006637096405,6.771087646484375e-05,84
3,4,109.75020480155945,7.224082946777344e-05,99
3,5,109.8372540473938,6.866455078125e-05,86
3,6,113.35542964935303,6.699562072753906e-05,97
3,7,112.39321947097778,6.866455078125e-05,80
3,8,114.61171412467957,7.009506225585938e-05,69
3,9,118.12838530540466,6.937980651855469e-05,75
4,0,299.95955896377563,6.937980651855469e-05,97
4,1,367.5373830795288,0.00010442733764648438,100
4,2,337.6244909763336,7.152557373046875e-05,100
4,3,397.26107025146484,7.557868957519531e-05,103
4,4,424.2534065246582,6.961822509765625e-05,93
4,5,633.4901032447815,7.367134094238281e-05,94
4,6,573.0711755752563,8.487701416015625e-05,84
4,7,584.1616477966309,8.320808410644531e-05,97
4,8,610.984612941742,7.367134094238281e-05,93
4,9,623.6104280948639,7.700920104980469e-05,92
